t_s,ax_g,ay_g,az_g
19.690,-0.11943,-0.08082,1.09351
19.700,-0.15248,-0.08714,1.11145
19.710,-0.16256,-0.08405,1.00467
19.720,-0.15945,-0.09200,1.03378
19.730,-0.12950,-0.07438,1.01188
19.740,-0.18931,-0.08899,0.98787
19.750,-0.14387,-0.10628,0.96501
19.760,-0.19211,-0.11560,1.00488
19.770,-0.14368,-0.11356,0.97300
19.780,-0.10962,-0.11645,0.91611
19.790,-0.12427,-0.06822,0.91619
19.800,-0.12378,-0.14994,0.90283
19.810,-0.13211,-0.14092,0.85801
19.820,-0.11474,-0.14484,0.86373
19.830,-0.11571,-0.11831,0.83683
19.840,-0.12250,-0.11873,0.80410
19.850,-0.10932,-0.13370,0.80587
19.860,-0.09668,-0.10249,0.71248
19.870,-0.11312,-0.11046,0.68857
19.880,-0.11062,-0.09579,0.65643
19.890,-0.11756,-0.08644,0.65662
19.900,-0.07707,-0.14835,0.63198
19.910,-0.06674,-0.08654,0.57828
19.920,-0.06363,-0.11988,0.62104
19.930,-0.03715,-0.08227,0.57358
19.940,-0.04026,-0.08128,0.61745
19.950,-0.01707,-0.07243,0.63425
19.960,0.00084,-0.08740,0.65375
19.970,0.01495,-0.03372,0.67569
19.980,0.03013,-0.07077,0.72095
19.990,0.11043,-0.02025,0.78907
20.000,0.08329,-0.05393,0.84834
20.010,0.10526,-0.01549,0.91492
20.020,0.15276,0.03123,0.98067
20.030,0.17304,0.05269,1.04002
20.040,0.16144,-0.01663,1.12721
20.050,0.23035,0.01182,1.14994
20.060,0.22049,0.02544,1.22127
20.070,0.21017,0.09072,1.26166
20.080,0.26125,0.05365,1.36669
20.090,0.24987,0.08551,1.36967
20.100,0.20663,0.07855,1.40210
20.110,0.25679,0.05660,1.40873
20.120,0.21877,0.05085,1.40720
20.130,0.18518,0.08262,1.46116
20.140,0.19304,0.14741,1.42305
20.150,0.13704,0.11172,1.37582
20.160,0.10352,0.13243,1.35396
20.170,0.05960,0.08702,1.33600
20.180,0.05260,0.11217,1.28929
20.190,0.01901,0.13678,1.25951
20.200,-0.02049,0.10117,1.20160
20.210,-0.06484,0.12275,1.15002
20.220,-0.07200,0.10674,1.20486
20.230,-0.09832,0.14048,1.12489
20.240,-0.14230,0.13085,1.10151
20.250,-0.15994,0.13485,1.08471
20.260,-0.13018,0.13630,1.07619
20.270,-0.20072,0.11147,1.05969
20.280,-0.14826,0.13273,1.04914
20.290,-0.16247,0.09706,1.02627
20.300,-0.12462,0.11717,0.99664
20.310,-0.15642,0.06070,1.01466
20.320,-0.12758,0.08038,0.97242
20.330,-0.14198,0.13660,0.98165
20.340,-0.12462,0.09732,0.91294
20.350,-0.10506,0.09204,0.94963
20.360,-0.12239,0.05801,0.88246
20.370,-0.08726,0.04729,0.84474
20.380,-0.12196,0.05864,0.81818
20.390,-0.09194,0.05745,0.81610
20.400,-0.07587,0.09210,0.82387
20.410,-0.07811,0.06940,0.73957
20.420,-0.05012,0.04663,0.70704
20.430,-0.10059,0.04145,0.69225
20.440,-0.10905,0.05127,0.63620
20.450,-0.09627,0.00598,0.62024
20.460,-0.05642,-0.00951,0.59786
20.470,-0.05081,0.04065,0.63308
20.480,-0.04743,0.02438,0.59251
20.490,-0.05799,-0.00584,0.61237
20.500,-0.00350,-0.02375,0.59913
20.510,-0.02396,0.03403,0.61628
20.520,0.04555,0.00396,0.68744
20.530,0.10346,0.02085,0.72313
20.540,0.07915,0.00620,0.79040
20.550,0.10994,0.00957,0.81030
20.560,0.11505,-0.00271,0.88937
20.570,0.11469,0.00655,0.93180
20.580,0.16333,0.01860,1.01527
20.590,0.17566,0.00050,1.06312
20.600,0.18752,-0.00174,1.15056
20.610,0.26593,0.01587,1.24213
20.620,0.24741,0.01587,1.25241
20.630,0.25500,-0.02187,1.29824
20.640,0.24133,-0.00141,1.34978
20.650,0.23871,-0.01325,1.37756
20.660,0.25072,-0.00470,1.41504
20.670,0.21493,0.02121,1.38235
20.680,0.20568,-0.00307,1.35760
20.690,0.16658,0.02995,1.39966
20.700,0.13580,-0.01235,1.41525
20.710,0.08424,-0.02378,1.35416
20.720,0.04107,-0.02485,1.33750
20.730,0.04311,-0.02590,1.29593
20.740,0.01764,-0.02685,1.27824
20.750,-0.03972,-0.05794,1.22252
20.760,-0.04305,-0.04777,1.19255
20.770,-0.06681,-0.06276,1.19401
20.780,-0.13315,-0.03297,1.15382
20.790,-0.12673,-0.09744,1.08979
20.800,-0.11473,-0.06119,1.06628
20.810,-0.12560,-0.10005,1.04690
20.820,-0.16304,-0.06631,1.01853
20.830,-0.13989,-0.08805,1.01458
20.840,-0.12257,-0.12132,1.00953
20.850,-0.12483,-0.07078,0.98367
20.860,-0.13760,-0.14425,0.99649
20.870,-0.13895,-0.09845,0.93893
20.880,-0.13523,-0.08745,0.93311
20.890,-0.10605,-0.07668,0.95168
20.900,-0.10445,-0.13879,0.95526
20.910,-0.08924,-0.11867,0.89776
20.920,-0.09345,-0.08778,0.84819
20.930,-0.07486,-0.08684,0.81181
20.940,-0.08533,-0.08394,0.79340
20.950,-0.06821,-0.05726,0.79158
20.960,-0.06357,-0.11683,0.74151
20.970,-0.09417,-0.09660,0.67239
20.980,-0.11089,-0.10757,0.67266
20.990,-0.03957,-0.13598,0.66627
21.000,-0.05959,-0.09335,0.63870
21.010,-0.09140,-0.12576,0.62594
21.020,-0.06148,-0.08990,0.60752
21.030,-0.01926,-0.10178,0.56696
21.040,-0.02503,-0.05594,0.58711
21.050,-0.01162,-0.07200,0.65858
21.060,0.04736,-0.08333,0.64734
21.070,0.02147,-0.02103,0.65593
21.080,0.05143,-0.04075,0.75425
21.090,0.09791,-0.02732,0.81900
21.100,0.12836,-0.02799,0.85766
21.110,0.15712,0.02496,0.93591
21.120,0.19095,0.01790,0.97624
21.130,0.20023,0.01075,1.05162
21.140,0.22673,-0.00483,1.09104
21.150,0.22877,0.09396,1.16831
21.160,0.24786,0.09339,1.27556
21.170,0.25648,0.09242,1.23049
21.180,0.26103,0.05886,1.33066
21.190,0.26904,0.07182,1.36011
21.200,0.25603,0.09826,1.40527
21.210,0.23180,0.08020,1.36337
21.220,0.19577,0.08549,1.39373
21.230,0.18998,0.14098,1.39109
21.240,0.16108,0.11653,1.39662
21.250,0.13573,0.10031,1.36696
21.260,0.14436,0.14608,1.30700
21.270,0.05725,0.11908,1.30212
21.280,0.04379,0.09372,1.25945
21.290,0.02538,0.11257,1.24916
21.300,-0.02344,0.12611,1.20001
21.310,-0.00537,0.14126,1.20626
21.320,-0.08315,0.13998,1.12663
21.330,-0.08885,0.16008,1.10008
21.340,-0.12709,0.12909,1.07560
21.350,-0.12987,0.12219,1.06053
21.360,-0.12564,0.15350,1.06250
21.370,-0.11778,0.14474,1.02073
21.380,-0.12912,0.11700,1.00752
21.390,-0.10832,0.12280,1.00953
21.400,-0.13120,0.10279,0.97060
21.410,-0.13013,0.08411,0.98851
21.420,-0.06261,0.14612,0.95306
21.430,-0.10159,0.08601,0.92488
21.440,-0.11673,0.09731,0.88549
21.450,-0.10957,0.05564,0.87628
21.460,-0.10862,0.09522,0.86689
21.470,-0.06601,0.05099,0.83878
21.480,-0.08788,0.10341,0.80200
21.490,-0.07463,0.10071,0.74345
21.500,-0.07551,0.07118,0.73356
21.510,-0.05676,0.05752,0.67218
21.520,-0.08512,0.04709,0.64542
21.530,-0.08564,0.04579,0.66375
21.540,-0.05422,0.05113,0.61572
21.550,-0.03943,0.04127,0.60983
21.560,-0.03528,0.05594,0.62019
21.570,-0.04603,0.01509,0.59004
21.580,-0.00143,0.06147,0.61962
21.590,-0.01217,0.02019,0.62731
21.600,0.01267,0.01172,0.63427
21.610,0.02704,0.03212,0.68439
21.620,0.09675,0.03184,0.71962
21.630,0.10960,-0.01281,0.80184
21.640,0.13592,0.01105,0.87064
21.650,0.17553,-0.02393,0.88883
21.660,0.23259,0.00489,0.96655
21.670,0.16600,0.00465,1.04539
21.680,0.20648,0.02212,1.10307
21.690,0.22638,-0.00080,1.17795
21.700,0.23481,0.00261,1.24777
21.710,0.23850,0.03822,1.31714
21.720,0.25696,0.05175,1.32393
21.730,0.23597,-0.00986,1.35639
21.740,0.25879,0.02679,1.39846
21.750,0.23951,0.01173,1.40359
21.760,0.22947,-0.03354,1.37726
21.770,0.20692,-0.01762,1.38580
21.780,0.18202,-0.06571,1.38232
21.790,0.13281,-0.00235,1.38399
21.800,0.15107,-0.03434,1.36395
21.810,0.08076,-0.01440,1.28953
21.820,0.00629,0.02978,1.26154
21.830,-0.00805,0.00541,1.25908
21.840,-0.05248,-0.04682,1.19752
21.850,-0.04436,-0.05687,1.18009
21.860,-0.07094,-0.01620,1.13751
21.870,-0.09797,-0.06761,1.11323
21.880,-0.06451,-0.03319,1.07885
21.890,-0.10583,-0.00378,1.08737
21.900,-0.11040,-0.05041,1.01506
21.910,-0.14793,-0.04552,1.02189
21.920,-0.15036,-0.05293,1.03604
21.930,-0.12788,-0.09027,0.99820
21.940,-0.12113,-0.07784,0.98730
21.950,-0.15606,-0.10690,0.99513
21.960,-0.11585,-0.06566,0.97006
21.970,-0.10482,-0.11635,0.96020
21.980,-0.10231,-0.08326,0.94679
21.990,-0.10763,-0.07667,0.87027
22.000,-0.09624,-0.11051,0.86293
22.010,-0.08395,-0.11578,0.82543
22.020,-0.07445,-0.10472,0.81562
22.030,-0.06077,-0.11838,0.79540
22.040,-0.04835,-0.09585,0.68938
22.050,-0.07307,-0.11497,0.67310
22.060,-0.07321,-0.11039,0.63069
22.070,-0.05143,-0.07865,0.62575
22.080,-0.04274,-0.07256,0.61951
22.090,-0.05663,-0.08534,0.63335
22.100,-0.02291,-0.10624,0.56484
22.110,-0.00736,-0.04305,0.63765
22.120,0.01340,-0.06794,0.60853
22.130,0.04045,-0.00964,0.62744
22.140,0.00758,-0.04490,0.65855
22.150,0.04767,-0.03043,0.65357
22.160,0.07212,-0.03226,0.71640
22.170,0.09589,-0.00889,0.76182
22.180,0.11158,0.06590,0.85546
22.190,0.12152,-0.00030,0.88927
22.200,0.17886,0.04262,0.97062
22.210,0.18561,0.02936,1.02980
22.220,0.22400,0.06141,1.13857
22.230,0.22422,0.00955,1.16138
22.240,0.23172,0.09712,1.20998
22.250,0.26720,0.07478,1.29331
22.260,0.26910,0.07199,1.32607
22.270,0.27575,0.10435,1.38998
22.280,0.30044,0.09760,1.39298
22.290,0.24943,0.07964,1.40733
22.300,0.23572,0.06140,1.42471
22.310,0.18209,0.15299,1.41238
22.320,0.15172,0.11792,1.40666
22.330,0.17993,0.11529,1.38532
22.340,0.09854,0.12126,1.33896
22.350,0.06376,0.16490,1.29132
22.360,0.05135,0.12867,1.27858
22.370,0.01864,0.15344,1.20721
22.380,-0.02760,0.13516,1.19763
22.390,-0.04317,0.11730,1.17052
22.400,-0.03691,0.16023,1.17244
22.410,-0.09846,0.16336,1.11425
22.420,-0.12718,0.12614,1.12634
22.430,-0.09341,0.13675,1.07799
22.440,-0.11143,0.13665,1.01646
22.450,-0.13895,0.14028,1.05527
22.460,-0.16006,0.16698,1.03861
22.470,-0.14227,0.11684,0.97100
22.480,-0.12506,0.11211,1.00634
22.490,-0.09546,0.11029,1.00754
22.500,-0.13314,0.08981,0.92127
22.510,-0.10714,0.06888,0.92594
22.520,-0.08490,0.10055,0.94709
22.530,-0.13933,0.10292,0.90200
22.540,-0.06499,0.08692,0.90935
22.550,-0.10411,0.08017,0.86971
22.560,-0.06950,0.05810,0.83571
22.570,-0.06768,0.07592,0.80870
22.580,-0.04798,0.06925,0.73414
22.590,-0.05596,0.07056,0.70964
22.600,-0.11168,0.06299,0.72158
22.610,-0.07636,0.06013,0.64540
22.620,-0.05331,0.07466,0.64848
22.630,-0.05379,0.05606,0.60266
22.640,-0.03212,0.05087,0.57846
22.650,-0.01528,0.00336,0.56944
22.660,-0.00566,0.05653,0.60471
22.670,-0.00612,0.02704,0.63380
22.680,-0.02006,0.03239,0.64132
22.690,0.02900,0.00339,0.67000
22.700,0.06985,0.06892,0.68431
22.710,0.06482,-0.02391,0.75771
22.720,0.12541,0.05395,0.81849
22.730,0.15744,0.03141,0.85972
22.740,0.16779,-0.01640,0.95193
22.750,0.12862,0.06126,0.99698
22.760,0.18676,0.02963,1.07005
22.770,0.26943,-0.02904,1.15819
22.780,0.23637,0.00835,1.23535
22.790,0.21878,0.02605,1.28841
22.800,0.28940,0.04801,1.30289
22.810,0.26592,0.00375,1.35583
22.820,0.28329,-0.04304,1.38749
22.830,0.25689,0.03679,1.40768
22.840,0.24553,0.01500,1.40830
22.850,0.22391,-0.04247,1.43294
22.860,0.20674,0.00588,1.38728
22.870,0.21106,0.00453,1.36143
22.880,0.15508,-0.01470,1.36940
22.890,0.07253,-0.02882,1.32884
22.900,0.08082,-0.02882,1.34227
22.910,0.06269,-0.02775,1.26105
22.920,0.03301,-0.01900,1.25643
22.930,-0.02856,-0.01539,1.21085
22.940,-0.02306,-0.07935,1.14039
22.950,-0.05095,-0.03665,1.14946
22.960,-0.03758,-0.03746,1.09661
22.970,-0.11971,-0.04933,1.13294
22.980,-0.12662,-0.06629,1.04758
22.990,-0.13053,-0.03520,1.02642
23.000,-0.13858,-0.04198,0.98531
23.010,-0.14773,-0.08128,0.99965
23.020,-0.18362,-0.08045,1.01663
23.030,-0.13331,-0.06788,0.96888
23.040,-0.11186,-0.06183,0.98658
23.050,-0.12273,-0.10753,0.96674
23.060,-0.06729,-0.11541,0.92515
23.070,-0.09887,-0.09173,0.92259
23.080,-0.06685,-0.12184,0.88332
23.090,-0.08166,-0.13980,0.89329
23.100,-0.06540,-0.11818,0.81060
23.110,-0.07225,-0.09361,0.83011
23.120,-0.04712,-0.07035,0.76740
23.130,-0.07057,-0.11433,0.74973
23.140,-0.05918,-0.10063,0.72255
23.150,-0.05900,-0.09226,0.68345
23.160,-0.06867,-0.10482,0.69224
23.170,-0.05027,-0.10213,0.61741
23.180,-0.00758,-0.07589,0.57892
23.190,-0.04957,-0.10085,0.63726
23.200,-0.02534,-0.08588,0.59679
23.210,0.00443,-0.06759,0.59684
23.220,0.01775,-0.04949,0.65236
23.230,0.01351,-0.07812,0.60464
23.240,-0.01360,-0.04182,0.66172
23.250,0.06734,-0.05598,0.68304
23.260,0.03724,-0.03445,0.75182
23.270,0.13672,0.00469,0.78134
23.280,0.13678,-0.00266,0.87298
23.290,0.17905,0.04224,0.93630
23.300,0.16547,0.01753,1.00181
23.310,0.17486,0.04844,1.02353
23.320,0.23068,0.05500,1.14868
23.330,0.24077,0.04870,1.18933
23.340,0.24336,0.03229,1.30170
23.350,0.26192,0.06583,1.28808
23.360,0.31753,0.06624,1.32512
23.370,0.27557,0.07399,1.37261
23.380,0.27131,0.09657,1.36695
23.390,0.25356,0.07196,1.42894
23.400,0.24793,0.09037,1.38934
23.410,0.19199,0.09386,1.38638
23.420,0.12862,0.11461,1.40679
23.430,0.13711,0.10922,1.37544
23.440,0.12639,0.11470,1.34967
23.450,0.05904,0.13489,1.28901
23.460,0.04309,0.12596,1.30319
23.470,0.00176,0.13691,1.22922
23.480,0.01621,0.11571,1.18123
23.490,-0.02594,0.12194,1.18994
23.500,-0.05208,0.17910,1.14694
23.510,-0.07349,0.12344,1.11769
23.520,-0.10382,0.09371,1.11008
23.530,-0.11248,0.14054,1.06769
23.540,-0.14971,0.11682,1.01956
23.550,-0.17571,0.13262,1.03093
23.560,-0.13165,0.12225,1.02887
23.570,-0.12796,0.13092,1.01355
23.580,-0.10764,0.11346,0.99397
23.590,-0.09593,0.10614,1.03316
23.600,-0.09020,0.12860,1.00452
23.610,-0.13505,0.05606,0.93193
23.620,-0.11537,0.06857,0.91075
23.630,-0.09213,0.07315,0.94399
23.640,-0.04503,0.05035,0.91501
23.650,-0.06072,0.06919,0.89643
23.660,-0.06343,0.06187,0.82827
23.670,-0.08988,0.08770,0.80197
23.680,-0.09676,0.06137,0.73613
23.690,-0.06073,0.05400,0.74058
23.700,-0.09601,0.04601,0.69159
23.710,-0.07594,0.02817,0.65735
23.720,-0.06988,0.06289,0.66334
23.730,-0.03094,0.06542,0.61830
23.740,-0.06345,0.01342,0.62040
23.750,-0.09667,0.06679,0.59130
23.760,-0.02700,0.01799,0.60200
23.770,-0.03774,0.01366,0.57109
23.780,-0.00697,0.03574,0.59304
23.790,0.00894,0.03535,0.64652
23.800,0.02604,0.02074,0.70496
23.810,0.07019,0.01350,0.72251
23.820,0.04813,0.04230,0.76309
23.830,0.09381,0.00496,0.84875
23.840,0.14348,0.01473,0.87518
23.850,0.14269,0.04873,0.92772
23.860,0.14670,-0.01311,1.00944
23.870,0.21410,0.00323,1.08214
23.880,0.24222,0.03164,1.11267
23.890,0.23437,0.02035,1.20012
23.900,0.20744,0.02620,1.21725
23.910,0.26756,-0.01975,1.29323
23.920,0.22209,0.01133,1.33584
23.930,0.25820,-0.00281,1.36949
23.940,0.22589,0.04610,1.35309
23.950,0.20712,0.01435,1.40721
23.960,0.20354,-0.00505,1.42663
23.970,0.18667,-0.00194,1.43278
23.980,0.15193,-0.00991,1.42142
23.990,0.14831,-0.00064,1.37390
24.000,0.09741,-0.03566,1.39843
24.010,0.09465,0.00458,1.30487
24.020,0.04920,-0.05366,1.27378
24.030,-0.00119,-0.02775,1.25537
24.040,-0.03394,-0.05324,1.23785
24.050,-0.07679,-0.04098,1.20121
24.060,-0.06250,-0.02730,1.10968
24.070,-0.09668,-0.08664,1.10884
24.080,-0.15479,-0.06119,1.11739
24.090,-0.13212,-0.09201,1.06126
24.100,-0.14980,-0.07419,1.05647
24.110,-0.10708,-0.10275,1.04900
24.120,-0.17615,-0.07583,1.03655
24.130,-0.17150,-0.09256,1.03081
24.140,-0.11857,-0.07381,1.02663
24.150,-0.10977,-0.06860,1.00156
24.160,-0.14650,-0.09703,0.95132
24.170,-0.13805,-0.08302,0.97306
24.180,-0.10648,-0.07644,0.96626
24.190,-0.15878,-0.12522,0.93433
24.200,-0.14329,-0.08022,0.92871
24.210,-0.10616,-0.11121,0.88227
24.220,-0.06481,-0.13097,0.84670
24.230,-0.10061,-0.10571,0.80156
24.240,-0.08668,-0.11271,0.82662
24.250,-0.06336,-0.13831,0.73153
24.260,-0.04147,-0.13038,0.71897
24.270,-0.09259,-0.07309,0.67989
24.280,-0.07829,-0.09702,0.63089
24.290,-0.03744,-0.06901,0.64982
24.300,-0.09884,-0.10234,0.62171
24.310,-0.04056,-0.10472,0.60266
24.320,-0.07206,-0.11640,0.57869
24.330,-0.03783,-0.05679,0.60415
24.340,-0.03040,-0.06079,0.59807
24.350,-0.02782,-0.06947,0.63234
24.360,-0.00902,-0.06901,0.67982
24.370,0.03766,-0.02204,0.63919
24.380,0.07531,-0.03916,0.75296
24.390,0.07738,-0.02969,0.83215
24.400,0.10662,-0.02887,0.87653
24.410,0.14188,-0.01533,0.91920
24.420,0.13551,0.01359,0.99241
24.430,0.19270,-0.01593,1.01602
24.440,0.21496,0.02379,1.10198
24.450,0.26832,0.05095,1.15572
24.460,0.22274,0.03963,1.20669
24.470,0.23091,0.07165,1.28743
24.480,0.26062,0.08632,1.30842
24.490,0.26190,0.08614,1.31211
24.500,0.23005,0.06546,1.38622
24.510,0.22295,0.08316,1.39622
24.520,0.22732,0.09790,1.42099
24.530,0.18103,0.08815,1.40057
24.540,0.16656,0.09342,1.36780
24.550,0.15051,0.09751,1.36890
24.560,0.14007,0.16427,1.34988
24.570,0.07779,0.11191,1.32226
24.580,0.02190,0.14193,1.30229
24.590,-0.01074,0.10569,1.29622
24.600,-0.02794,0.15892,1.22085
24.610,-0.05781,0.11842,1.23279
24.620,-0.06120,0.12746,1.15729
24.630,-0.10566,0.08949,1.14440
24.640,-0.11650,0.14757,1.12307
24.650,-0.13500,0.15038,1.09239
24.660,-0.14177,0.09786,1.08845
24.670,-0.11632,0.14245,1.05442
24.680,-0.13587,0.08905,1.03668
24.690,-0.15192,0.12482,0.97771
24.700,-0.16175,0.10240,1.02022
24.710,-0.15910,0.13052,1.03753
24.720,-0.13990,0.10410,0.97788
24.730,-0.12944,0.11282,0.98788
24.740,-0.15309,0.11383,0.94361
24.750,-0.12767,0.07799,0.96302
24.760,-0.16255,0.07788,0.93426
24.770,-0.11162,0.05085,0.89418
24.780,-0.09518,0.06170,0.86748
24.790,-0.11139,0.10092,0.86082
24.800,-0.06561,0.07227,0.81810
24.810,-0.11644,0.03118,0.76026
24.820,-0.09185,0.07979,0.72103
24.830,-0.09452,0.05024,0.73020
24.840,-0.09329,0.05459,0.67135
24.850,-0.09050,0.04357,0.65809
24.860,-0.08204,0.03820,0.64379
24.870,-0.06180,-0.01383,0.58776
24.880,-0.04399,0.04486,0.57761
24.890,-0.06227,-0.02548,0.62373
24.900,-0.03423,0.03709,0.58452
24.910,-0.05039,0.01619,0.62328
24.920,-0.00433,0.02859,0.67211
24.930,-0.01577,0.01296,0.65469
24.940,0.04257,0.02880,0.66913
24.950,0.08806,0.00656,0.73324
24.960,0.06579,0.01033,0.77815
24.970,0.04949,0.01141,0.84018
24.980,0.10751,0.03957,0.91434
24.990,0.16755,0.01275,0.98047
25.000,0.17695,-0.02682,0.98854
25.010,0.19164,-0.01302,1.11647
25.020,0.22468,0.00892,1.15972
25.030,0.22847,0.02077,1.20029
25.040,0.25328,-0.02038,1.27844
25.050,0.25289,0.03719,1.28801
25.060,0.26567,-0.00595,1.32645
25.070,0.23814,-0.00311,1.39677
25.080,0.23983,-0.03890,1.39714
25.090,0.20155,0.00594,1.43843
25.100,0.17718,-0.02811,1.39592
25.110,0.20091,-0.03721,1.40983
25.120,0.14532,-0.03203,1.39866
25.130,0.12869,-0.00171,1.37947
25.140,0.08484,-0.02402,1.35889
25.150,0.03942,-0.05536,1.32672
25.160,0.02001,-0.05269,1.28618
25.170,0.01783,-0.01864,1.21373
25.180,-0.02900,-0.05653,1.23632
25.190,-0.10139,-0.04575,1.13881
25.200,-0.09580,-0.04616,1.13054
25.210,-0.07698,-0.13607,1.11243
25.220,-0.13453,-0.04791,1.11871
25.230,-0.18023,-0.09577,1.07336
25.240,-0.11663,-0.09144,1.09545
25.250,-0.14757,-0.05887,1.01307
25.260,-0.16603,-0.06603,1.00389
25.270,-0.17255,-0.09023,0.96753
25.280,-0.14148,-0.09039,0.97706
25.290,-0.17002,-0.08998,0.97477
25.300,-0.13084,-0.08515,1.00326
25.310,-0.13670,-0.08642,0.97974
25.320,-0.13603,-0.11875,0.94611
25.330,-0.13145,-0.13848,0.91474
25.340,-0.13173,-0.13109,0.91270
25.350,-0.10188,-0.12509,0.89603
25.360,-0.13548,-0.12969,0.82774
25.370,-0.14683,-0.14918,0.79722
25.380,-0.09905,-0.11979,0.76514
25.390,-0.09615,-0.15872,0.70378
25.400,-0.09676,-0.12374,0.72766
25.410,-0.09556,-0.11977,0.65835
25.420,-0.10675,-0.11699,0.63385
25.430,-0.08001,-0.09803,0.64289
25.440,-0.09040,-0.09568,0.58305
25.450,-0.09084,-0.05985,0.60650
25.460,-0.07644,-0.10819,0.54194
25.470,-0.01616,-0.08510,0.59313
25.480,-0.07475,-0.07858,0.58785
25.490,-0.01068,-0.07112,0.59011
25.500,-0.03220,-0.09084,0.63386
25.510,0.02361,-0.07978,0.70367
25.520,0.04332,-0.04613,0.73445
25.530,0.03769,-0.06758,0.82135
25.540,0.11499,-0.03227,0.86450
25.550,0.12696,-0.02786,0.91659
25.560,0.11855,-0.01008,1.03979
25.570,0.20097,0.02934,1.09746
25.580,0.23329,-0.00411,1.12433
25.590,0.25071,0.04548,1.23788
25.600,0.23959,0.02705,1.28545
25.610,0.23943,0.03964,1.32470
25.620,0.26535,0.06759,1.36666
25.630,0.26670,0.06204,1.43239
25.640,0.24400,0.05839,1.43245
25.650,0.18503,0.07693,1.46364
25.660,0.18515,0.05625,1.44479
25.670,0.16255,0.10612,1.42974
25.680,0.08644,0.04241,1.39108
25.690,0.09811,0.12735,1.38334
25.700,0.09856,0.12620,1.36889
25.710,0.02970,0.14937,1.31440
25.720,0.01071,0.16355,1.31350
25.730,-0.04914,0.14032,1.25651
25.740,-0.08574,0.10988,1.17432
25.750,-0.10474,0.16584,1.15279
25.760,-0.15274,0.09763,1.14314
25.770,-0.17531,0.08178,1.06989
25.780,-0.14566,0.15445,1.07263
25.790,-0.15385,0.12628,1.03446
25.800,-0.20703,0.07292,1.03520
25.810,-0.16976,0.07892,0.99950
25.820,-0.18936,0.11212,1.02397
25.830,-0.17660,0.07831,0.97777
25.840,-0.16800,0.07541,0.98523
25.850,-0.14992,0.12318,0.92381
25.860,-0.16028,0.12051,0.92610
25.870,-0.12600,0.07403,0.88116
25.880,-0.14094,0.06156,0.90079
25.890,-0.12855,0.07610,0.82723
25.900,-0.15270,0.04037,0.80280
25.910,-0.08889,0.00068,0.77034
25.920,-0.11946,-0.01605,0.70534
25.930,-0.11170,0.03186,0.65312
25.940,-0.15493,0.04542,0.63955
25.950,-0.13506,0.02289,0.55993
25.960,-0.08795,0.03392,0.59440
25.970,-0.09862,0.03146,0.54226
25.980,-0.13118,0.03692,0.50333
25.990,-0.05708,0.00926,0.52739
26.000,-0.06972,0.00777,0.55734
26.010,-0.00761,-0.00141,0.55640
26.020,-0.01077,-0.00842,0.57472
26.030,0.02525,-0.03698,0.66512
26.040,0.07750,0.01586,0.74872
26.050,0.07031,-0.01709,0.81401
26.060,0.10309,-0.01994,0.90073
26.070,0.15269,-0.02358,0.99968
26.080,0.20433,-0.04118,1.10144
26.090,0.18838,-0.01778,1.10321
26.100,0.20350,-0.00756,1.21269
26.110,0.26863,-0.03403,1.31643
26.120,0.24785,-0.00148,1.38168
26.130,0.25163,-0.03224,1.39533
26.140,0.21341,-0.05855,1.44651
26.150,0.21966,-0.00390,1.51743
26.160,0.20791,-0.03135,1.48181
26.170,0.19449,-0.02251,1.48486
26.180,0.12253,-0.02702,1.49556
26.190,0.12890,-0.06919,1.43006
26.200,0.03730,-0.06675,1.40413
26.210,-0.00820,-0.04216,1.35445
26.220,-0.00830,-0.03314,1.28809
26.230,-0.07665,-0.07599,1.23842
26.240,-0.12958,-0.09755,1.22330
26.250,-0.15398,-0.05939,1.15656
26.260,-0.14999,-0.11377,1.09843
26.270,-0.16732,-0.10293,1.10747
26.280,-0.22597,-0.12630,1.00110
26.290,-0.21722,-0.12044,1.06652
26.300,-0.21577,-0.15250,1.01102
26.310,-0.23393,-0.14844,0.99606
26.320,-0.20853,-0.16028,0.97813
26.330,-0.19834,-0.14057,0.98117
26.340,-0.16568,-0.15581,0.93194
26.350,-0.15443,-0.14575,0.89641
26.360,-0.17614,-0.18308,0.84002
26.370,-0.16622,-0.17274,0.80080
26.380,-0.14261,-0.15679,0.77851
26.390,-0.16292,-0.15145,0.71690
26.400,-0.13557,-0.19544,0.69149
26.410,-0.14520,-0.15658,0.58821
26.420,-0.15782,-0.17409,0.53302
26.430,-0.15029,-0.13302,0.52208
26.440,-0.09149,-0.10589,0.48625
26.450,-0.10836,-0.18577,0.45087
26.460,-0.05199,-0.13570,0.46886
26.470,-0.06901,-0.10506,0.51687
26.480,-0.02127,-0.09699,0.51965
26.490,0.05744,-0.06365,0.58573
26.500,0.02910,-0.06550,0.67375
26.510,0.05540,-0.06160,0.76848
26.520,0.16273,-0.05480,0.90344
26.530,0.16245,-0.04122,0.98739
26.540,0.21657,-0.01523,1.14292
26.550,0.23700,0.00531,1.19686
26.560,0.27745,0.04098,1.32309
26.570,0.26636,0.04635,1.39924
26.580,0.28378,0.05193,1.46697
26.590,0.28653,0.05932,1.46469
26.600,0.23577,0.07891,1.51798
26.610,0.20940,0.09389,1.54169
26.620,0.17447,0.10101,1.49130
26.630,0.10345,0.13871,1.44097
26.640,0.06926,0.16027,1.43002
26.650,0.02358,0.11536,1.40728
